date,home,away,g1_home,g1_away,g2_home,g2_away,g1_total,g2_total
2008-04-10,TEX,BAL,3.0,1.0,5.0,4.0,4.0,9.0
2008-04-24,KC,CLE,6.0,9.0,0.0,2.0,15.0,2.0
2008-04-26,CWS,BAL,1.0,5.0,6.0,5.0,6.0,11.0
2008-05-10,NYM,CIN,12.0,6.0,1.0,7.0,18.0,8.0
2008-05-12,CLE,TOR,3.0,0.0,0.0,3.0,3.0,3.0
2008-05-12,PIT,ATL,5.0,0.0,1.0,8.0,5.0,9.0
2008-05-17,BOS,MIL,5.0,3.0,7.0,6.0,8.0,13.0
2008-05-20,ATL,NYM,6.0,1.0,6.0,2.0,7.0,8.0
2008-05-25,MIA,SF,8.0,6.0,5.0,4.0,14.0,9.0
2008-06-05,WSH,STL,1.0,4.0,10.0,9.0,5.0,19.0
2008-06-15,NYM,TEX,7.0,8.0,4.0,2.0,15.0,6.0
2008-07-24,BAL,TOR,1.0,5.0,1.0,7.0,6.0,8.0
2008-08-07,COL,WSH,3.0,6.0,3.0,6.0,9.0,9.0
2008-08-13,ATL,CHC,2.0,10.0,0.0,8.0,12.0,8.0
2008-09-04,KC,ATH,5.0,4.0,9.0,6.0,9.0,15.0
2008-09-07,NYM,PHI,2.0,6.0,6.0,3.0,8.0,9.0
2008-09-09,CWS,TOR,1.0,3.0,2.0,8.0,4.0,10.0
2008-09-13,BAL,MIN,2.0,12.0,6.0,12.0,14.0,18.0
2008-09-13,BOS,TOR,1.0,8.0,7.0,5.0,9.0,12.0
2008-09-13,CLE,KC,3.0,8.0,4.0,8.0,11.0,12.0
2008-09-13,NYM,ATL,2.0,3.0,5.0,0.0,5.0,5.0
2008-09-13,NYY,TB,1.0,7.0,6.0,5.0,8.0,11.0
2008-09-14,CWS,DET,4.0,2.0,11.0,7.0,6.0,18.0
2008-09-14,PHI,MIL,7.0,3.0,6.0,1.0,10.0,7.0
2008-09-23,BAL,TB,2.0,5.0,5.0,7.0,7.0,12.0
2008-09-28,BOS,NYY,2.0,6.0,4.0,3.0,8.0,7.0
2009-04-22,BOS,MIN,10.0,1.0,7.0,3.0,11.0,10.0
2009-04-28,CWS,SEA,2.0,1.0,1.0,9.0,3.0,10.0
2009-05-16,WSH,PHI,5.0,8.0,5.0,7.0,13.0,12.0
2009-05-20,MIA,AZ,8.0,6.0,9.0,11.0,14.0,20.0
2009-05-29,TEX,ATH,6.0,3.0,5.0,2.0,9.0,7.0
2009-06-04,WSH,SF,1.0,5.0,1.0,4.0,6.0,5.0
2009-06-08,CWS,DET,4.0,5.0,6.0,1.0,9.0,7.0
2009-07-12,CHC,STL,7.0,3.0,2.0,4.0,10.0,6.0
2009-07-21,KC,LAA,5.0,8.0,2.0,10.0,13.0,12.0
2009-07-24,DET,CWS,5.0,1.0,4.0,3.0,6.0,7.0
2009-07-30,NYM,COL,7.0,0.0,2.0,4.0,7.0,6.0
2009-08-16,MIA,COL,10.0,3.0,3.0,7.0,13.0,10.0
