ticker,event_ticker,result,volume_fp,liquidity_dollars,close_time,previous_yes_ask_dollars
KXMLBGAME-26SEP101940PITCWS-PIT,KXMLBGAME-26SEP101940PITCWS,yes,1087987.21,0.0000,2026-09-11T02:14:31Z,0.5100
KXMLBGAME-26SEP101940PITCWS-CWS,KXMLBGAME-26SEP101940PITCWS,no,2336914.28,0.0000,2026-09-11T02:14:31Z,0.5100
KXMLBGAME-26SEP101905COLNYY-NYY,KXMLBGAME-26SEP101905COLNYY,yes,1401870.87,0.0000,2026-09-11T02:19:35Z,0.7300
KXMLBGAME-26SEP101905COLNYY-COL,KXMLBGAME-26SEP101905COLNYY,no,2035182.26,0.0000,2026-09-11T02:19:35Z,0.2800
KXMLBGAME-26SEP101610TEXSEA-TEX,KXMLBGAME-26SEP101610TEXSEA,no,4120026.33,0.0000,2026-09-10T22:49:39Z,0.4700
KXMLBGAME-26SEP101610TEXSEA-SEA,KXMLBGAME-26SEP101610TEXSEA,yes,4627124.17,0.0000,2026-09-10T22:49:39Z,0.5400
KXMLBGAME-26SEP101305HOUPHI-PHI,KXMLBGAME-26SEP101305HOUPHI,no,3083709.88,0.0000,2026-09-10T19:39:44Z,0.6300
KXMLBGAME-26SEP101305HOUPHI-HOU,KXMLBGAME-26SEP101305HOUPHI,yes,2464334.06,0.0000,2026-09-10T19:39:44Z,0.3800
KXMLBGAME-26SEP101215TBATL-TB,KXMLBGAME-26SEP101215TBATL,no,2649422.23,0.0000,2026-09-10T18:29:41Z,0.4700
KXMLBGAME-26SEP101215TBATL-ATL,KXMLBGAME-26SEP101215TBATL,yes,1924832.75,0.0000,2026-09-10T18:29:41Z,0.5400
KXMLBGAME-26SEP092210CINLAD-LAD,KXMLBGAME-26SEP092210CINLAD,yes,1191472.82,0.0000,2026-09-10T04:54:23Z,1.0000
KXMLBGAME-26SEP092210CINLAD-CIN,KXMLBGAME-26SEP092210CINLAD,no,2500619.77,0.0000,2026-09-10T04:54:23Z,1.0000
KXMLBGAME-26SEP091940PITCWS-PIT,KXMLBGAME-26SEP091940PITCWS,yes,857726.28,0.0000,2026-09-10T02:54:32Z,1.0000
KXMLBGAME-26SEP091940PITCWS-CWS,KXMLBGAME-26SEP091940PITCWS,no,1369517.01,0.0000,2026-09-10T02:54:32Z,1.0000
KXMLBGAME-26SEP091940AZKC-KC,KXMLBGAME-26SEP091940AZKC,yes,616928.82,0.0000,2026-09-10T03:09:43Z,1.0000
KXMLBGAME-26SEP091940AZKC-AZ,KXMLBGAME-26SEP091940AZKC,no,1393995.62,0.0000,2026-09-10T03:09:43Z,1.0000
KXMLBGAME-26SEP091940CHCMIL-MIL,KXMLBGAME-26SEP091940CHCMIL,yes,708664.17,0.0000,2026-09-10T02:49:45Z,1.0000
KXMLBGAME-26SEP091940CHCMIL-CHC,KXMLBGAME-26SEP091940CHCMIL,no,1709726.15,0.0000,2026-09-10T02:49:45Z,1.0000
KXMLBGAME-26SEP091915TBATL-TB,KXMLBGAME-26SEP091915TBATL,yes,494072.35,0.0000,2026-09-10T01:55:25Z,1.0000
KXMLBGAME-26SEP091915TBATL-ATL,KXMLBGAME-26SEP091915TBATL,no,832870.35,0.0000,2026-09-10T01:55:25Z,1.0000
KXMLBGAME-26SEP091905COLNYY-NYY,KXMLBGAME-26SEP091905COLNYY,yes,469440.73,0.0000,2026-09-10T01:39:46Z,1.0000
KXMLBGAME-26SEP091905COLNYY-COL,KXMLBGAME-26SEP091905COLNYY,no,320529.09,0.0000,2026-09-10T01:39:46Z,1.0000
KXMLBGAME-26SEP091845LAABOS-LAA,KXMLBGAME-26SEP091845LAABOS,yes,699565.07,0.0000,2026-09-10T01:34:25Z,1.0000
KXMLBGAME-26SEP091845LAABOS-BOS,KXMLBGAME-26SEP091845LAABOS,no,1153521.18,0.0000,2026-09-10T01:34:25Z,1.0000
KXMLBGAME-26SEP091840NYMMIA-NYM,KXMLBGAME-26SEP091840NYMMIA,yes,2015733.72,0.0000,2026-09-10T02:24:32Z,1.0000
KXMLBGAME-26SEP091840NYMMIA-MIA,KXMLBGAME-26SEP091840NYMMIA,no,3482323.55,0.0000,2026-09-10T02:24:32Z,1.0000
KXMLBGAME-26SEP091835CLEBAL-CLE,KXMLBGAME-26SEP091835CLEBAL,no,1850434.21,0.0000,2026-09-10T01:24:42Z,1.0000
KXMLBGAME-26SEP091835CLEBAL-BAL,KXMLBGAME-26SEP091835CLEBAL,yes,1289749.92,0.0000,2026-09-10T01:24:42Z,1.0000
KXMLBGAME-26SEP091840HOUPHI-PHI,KXMLBGAME-26SEP091840HOUPHI,yes,2196609.16,0.0000,2026-09-10T01:44:56Z,1.0000
KXMLBGAME-26SEP091840HOUPHI-HOU,KXMLBGAME-26SEP091840HOUPHI,no,1021725.83,0.0000,2026-09-10T01:44:56Z,1.0000
KXMLBGAME-26SEP091610WSHSD-WSH,KXMLBGAME-26SEP091610WSHSD,no,1264131.08,0.0000,2026-09-09T23:09:41Z,1.0000
KXMLBGAME-26SEP091610WSHSD-SD,KXMLBGAME-26SEP091610WSHSD,yes,1117860.31,0.0000,2026-09-09T23:09:41Z,1.0000
KXMLBGAME-26SEP091610TEXSEA-TEX,KXMLBGAME-26SEP091610TEXSEA,no,1388956.90,0.0000,2026-09-09T22:36:33Z,1.0000
KXMLBGAME-26SEP091610TEXSEA-SEA,KXMLBGAME-26SEP091610TEXSEA,yes,739693.64,0.0000,2026-09-09T22:36:33Z,1.0000
KXMLBGAME-26SEP091545STLSF-STL,KXMLBGAME-26SEP091545STLSF,no,2404616.83,0.0000,2026-09-09T22:32:41Z,1.0000
KXMLBGAME-26SEP091545STLSF-SF,KXMLBGAME-26SEP091545STLSF,yes,1691901.86,0.0000,2026-09-09T22:32:41Z,1.0000
KXMLBGAME-26SEP091505TORATH-TOR,KXMLBGAME-26SEP091505TORATH,no,903774.32,0.0000,2026-09-09T21:24:31Z,1.0000
KXMLBGAME-26SEP091505TORATH-ATH,KXMLBGAME-26SEP091505TORATH,yes,604361.70,0.0000,2026-09-09T21:24:31Z,1.0000
KXMLBGAME-26SEP091310MINDET-MIN,KXMLBGAME-26SEP091310MINDET,no,1490711.37,0.0000,2026-09-09T21:44:32Z,1.0000
KXMLBGAME-26SEP091310MINDET-DET,KXMLBGAME-26SEP091310MINDET,yes,1206101.71,0.0000,2026-09-09T21:44:32Z,1.0000
KXMLBGAME-26SEP082210CINLAD-LAD,KXMLBGAME-26SEP082210CINLAD,yes,1634761.32,0.0000,2026-09-09T04:39:33Z,1.0000
KXMLBGAME-26SEP082210CINLAD-CIN,KXMLBGAME-26SEP082210CINLAD,no,3910265.24,0.0000,2026-09-09T04:39:33Z,1.0000
KXMLBGAME-26SEP082145STLSF-STL,KXMLBGAME-26SEP082145STLSF,no,2079726.25,0.0000,2026-09-09T04:14:28Z,1.0000
KXMLBGAME-26SEP082145STLSF-SF,KXMLBGAME-26SEP082145STLSF,yes,1053880.58,0.0000,2026-09-09T04:14:28Z,1.0000
KXMLBGAME-26SEP082140TEXSEA-TEX,KXMLBGAME-26SEP082140TEXSEA,yes,1275823.64,0.0000,2026-09-09T04:54:27Z,1.0000
KXMLBGAME-26SEP082140TEXSEA-SEA,KXMLBGAME-26SEP082140TEXSEA,no,1964160.79,0.0000,2026-09-09T04:54:27Z,1.0000
KXMLBGAME-26SEP082140WSHSD-WSH,KXMLBGAME-26SEP082140WSHSD,no,1299162.57,0.0000,2026-09-09T04:14:29Z,1.0000
KXMLBGAME-26SEP082140WSHSD-SD,KXMLBGAME-26SEP082140WSHSD,yes,1714993.62,0.0000,2026-09-09T04:14:29Z,1.0000
KXMLBGAME-26SEP082140TORATH-TOR,KXMLBGAME-26SEP082140TORATH,yes,797325.31,0.0000,2026-09-09T04:14:29Z,1.0000
KXMLBGAME-26SEP082140TORATH-ATH,KXMLBGAME-26SEP082140TORATH,no,939307.03,0.0000,2026-09-09T04:14:29Z,1.0000
KXMLBGAME-26SEP081940PITCWS-PIT,KXMLBGAME-26SEP081940PITCWS,yes,559262.21,0.0000,2026-09-09T02:29:51Z,1.0000
KXMLBGAME-26SEP081940PITCWS-CWS,KXMLBGAME-26SEP081940PITCWS,no,1094633.31,0.0000,2026-09-09T02:29:51Z,1.0000
KXMLBGAME-26SEP081940AZKC-KC,KXMLBGAME-26SEP081940AZKC,no,2608706.34,0.0000,2026-09-09T03:14:36Z,1.0000
