game_id,game_pk,season,gameday,team,opponent,is_home,runs_scored,runs_allowed,run_diff,hits,doubles,triples,home_runs,bb,so,hbp,pa,ab,tb,lob,sb,obp,slg,p_ip,p_outs,p_h,p_bb,p_hbp,p_so,p_hr,p_er,p_r,p_bf,p_pitches,p_strikes,p_strike_pct,brpi_off,brpi_def,lob_rate_off,runs_late,runs_allowed_late
634615,634615,2021,2021-04-01,COL,LAD,1,8,5,3,11,1,1,0,3,4,0,39,35,14,16,2,.368,.400,9.0,27,15,8,1,6,0,5,5,46,190,116,0.61,1.5555555555555556,2.6666666666666665,1.1428571428571428,2,1
634615,634615,2021,2021-04-01,LAD,COL,0,5,8,-3,15,3,1,0,8,6,1,46,36,20,30,0,.522,.556,8.0,24,11,3,0,4,0,7,8,39,131,87,0.66,2.6666666666666665,1.75,1.25,1,2
634618,634618,2021,2021-04-01,SD,AZ,1,8,7,1,10,1,1,2,5,10,1,39,32,19,16,0,.410,.594,9.0,27,12,1,0,12,4,4,7,41,169,118,0.7,1.7777777777777777,1.4444444444444444,1.0,1,0
634618,634618,2021,2021-04-01,AZ,SD,0,7,8,-1,12,3,0,4,1,12,0,41,40,27,15,0,.317,.675,8.0,24,10,5,1,10,2,8,8,39,149,95,0.64,1.4444444444444444,2.0,1.1538461538461537,0,1
634622,634622,2021,2021-04-01,PHI,ATL,1,3,2,1,9,2,0,0,4,13,1,43,36,11,20,1,.333,.306,10.0,30,7,2,1,10,1,2,2,40,134,93,0.69,1.4,1.0,1.4285714285714286,1,2
634622,634622,2021,2021-04-01,ATL,PHI,0,2,3,-1,7,2,0,1,2,10,1,40,37,12,21,0,.250,.324,9.666666666666666,29,9,4,1,13,0,2,3,43,151,101,0.67,1.0,1.4482758620689655,2.1,2,1
634625,634625,2021,2021-04-01,SEA,SF,1,8,7,1,5,3,0,0,9,9,1,43,32,8,13,0,.349,.250,10.0,30,10,4,0,7,4,6,7,43,174,103,0.59,1.5,1.4,0.8666666666666667,8,2
634625,634625,2021,2021-04-01,SF,SEA,0,7,8,-1,10,3,0,4,4,7,0,43,39,25,14,0,.326,.641,9.0,27,5,9,1,9,0,6,8,43,171,101,0.59,1.4,1.6666666666666667,1.0,2,8
634630,634630,2021,2021-04-01,KC,TEX,1,14,10,4,15,0,0,3,8,8,2,51,38,24,27,0,.500,.632,9.0,27,15,9,1,16,0,9,10,50,202,122,0.6,2.7777777777777777,2.7777777777777777,1.08,4,1
634630,634630,2021,2021-04-01,TEX,KC,0,10,14,-4,15,3,0,0,9,16,1,50,40,18,29,1,.500,.450,8.0,24,15,8,2,8,3,14,14,51,200,120,0.6,2.7777777777777777,3.125,1.16,1,4
