venue_id,venue_name,lat,lon,tz,city
1,Angel Stadium,33.80019044,-117.8823996,43.61,Anaheim
2,Oriole Park at Camden Yards,39.283787,-76.621689,31.0,Baltimore
3,Fenway Park,42.346456,-71.097441,45.0,Boston
5380,CoolToday Park,27.04422,-82.23593,,North Port
4,Rate Field,41.83,-87.634167,127.0,Chicago
5,Progressive Field,41.495861,-81.685255,,Cleveland
7,Kauffman Stadium,39.051567,-94.480483,46.0,Kansas City
5000,CACTI Park of the Palm Beaches,26.75475,-80.11316,,West Palm Beach
12,Tropicana Field,27.767778,-82.6525,359.0,St. Petersburg
2700,BayCare Ballpark,27.97159,-82.731714,,Clearwater
14,Rogers Centre,43.64155,-79.38915,345.0,Toronto
15,Chase Field,33.445302,-112.066687,,Phoenix
17,Wrigley Field,41.948171,-87.655503,37.0,Chicago
19,Coors Field,39.756042,-104.994136,4.0,Denver
4629,Sloan Park,33.43081,-111.882,,Mesa
22,UNIQLO Field at Dodger Stadium,34.07368,-118.24053,26.0,Los Angeles
4249,Salt River Fields at Talking Stick,33.54523,-111.88552,72.0,Scottsdale
31,PNC Park,40.446904,-80.005753,116.0,Pittsburgh
32,American Family Field,43.02838,-87.97099,129.0,Milwaukee
2722,Route 66 Stadium,37.21078,-93.2797,,Springfield
680,T-Mobile Park,47.591333,-122.33251,49.0,Seattle
2856,Clover Park,27.3249268,-80.4068854,,Port St. Lucie
2602,Great American Ball Park,39.097389,-84.506611,122.0,Cincinnati
2603,Surprise Stadium,33.62762,-112.37849,,Surprise
2862,Lee Health Sports Complex,26.537803,-81.841973,,Fort Myers
2735,Journey Bank Ballpark,41.2419845,-77.0475104,,Williamsport
2500,Tempe Diablo Stadium,33.40092,-111.9707,,Tempe
5445,Field of Dreams,42.498241,-91.056486,,Dyersville
2889,Busch Stadium,38.62256667,-90.19286667,62.0,St. Louis
4169,loanDepot park,25.77796236,-80.21951795,128.0,Miami
2507,Hohokam Stadium,33.43831,-111.82973,,Mesa
2508,Ed Smith Stadium,27.34795,-82.5174,,Sarasota
5325,Globe Life Field,32.747299,-97.081818,30.0,Arlington
2511,Publix Field at Joker Marchant Stadium,28.074822,-81.9508415,,Lakeland
4309,JetBlue Park,26.55092,-81.76225,,Ft. Myers
2518,American Family Fields of Phoenix,33.49202,-112.1727,,Phoenix
2520,Roger Dean Chevrolet Stadium,26.890957,-80.116365,,Jupiter
2392,Daikin Park,29.756967,-95.355509,343.0,Houston
3289,Citi Field,40.75753012,-73.84559155,13.0,Flushing
2394,Comerica Park,42.3391151,-83.048695,150.0,Detroit
2523,George M. Steinbrenner Field,27.97997,-82.50702,60.0,Tampa
2395,Oracle Park,37.778383,-122.389448,85.0,San Francisco
2526,LECOM Park,27.48553,-82.57038,,Bradenton
2529,Sutter Health Park,38.57994,-121.51246,46.0,Sacramento
4705,Truist Park,33.890672,-84.467641,145.0,Atlanta
3809,Camelback Ranch,33.51434,-112.29612,,Glendale
2530,Peoria Stadium,33.63187,-112.23359,,Peoria
2532,Scottsdale Stadium,33.48869,-111.92099,,Scottsdale
2534,Charlotte Sports Park,26.99888,-82.18212,,Port Charlotte
2536,TD Ballpark,27.9745812,-82.7913301,138.0,Dunedin
5355,Las Vegas Ballpark,36.152607,-115.329888,,Las Vegas
3309,Nationals Park,38.872861,-77.007501,28.0,Washington
3312,Target Field,44.981829,-93.277891,129.0,Minneapolis
3313,Yankee Stadium,40.82919482,-73.9264977,75.0,Bronx
2680,Petco Park,32.707861,-117.157278,,San Diego
2681,Citizens Bank Park,39.90539086,-75.16716957,9.0,Philadelphia
3834,Goodyear Ballpark,33.42892,-112.39027,,Goodyear
